age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,deposit
47,housemaid,divorced,secondary,no,1453,no,no,12,jun,303,1,-1,0,no
38,admin,divorced,secondary,no,0,no,no,5,jun,56,1,-1,0,no
32,technician,single,secondary,no,1732,yes,no,14,aug,1871,3,-1,0,yes
40,blueCollar,married,primary,no,919,yes,no,3,jun,327,2,-1,0,no
40,management,married,tertiary,no,193,no,no,18,aug,105,6,-1,0,no
54,management,single,tertiary,no,4393,yes,no,16,may,1297,3,-1,0,yes
41,technician,married,tertiary,no,0,no,no,20,jun,95,1,-1,0,no
43,technician,divorced,secondary,no,6835,no,no,20,jun,262,2,-1,0,no
34,admin,divorced,secondary,no,1085,no,no,11,mar,101,7,-1,0,yes
51,management,married,tertiary,no,3463,no,yes,13,jul,371,2,166,3,yes
39,housemaid,married,primary,no,2460,no,no,11,jul,194,3,-1,0,no
28,technician,married,secondary,no,880,yes,no,26,may,188,1,-1,0,no
55,retired,married,primary,no,3876,no,no,21,nov,54,1,-1,0,no
76,retired,married,tertiary,no,2991,no,no,25,jan,195,1,95,2,no
35,services,married,secondary,no,0,yes,no,30,jul,251,3,-1,0,no
27,student,single,tertiary,no,5291,no,no,12,nov,192,2,92,2,yes
23,technician,single,tertiary,no,1129,yes,no,28,may,806,1,-1,0,yes
30,management,single,tertiary,no,4210,no,no,12,aug,796,4,-1,0,yes
47,technician,married,secondary,no,1233,yes,no,11,sep,91,1,100,2,yes
39,management,married,tertiary,no,3518,yes,no,8,may,440,1,-1,0,no
30,blueCollar,married,secondary,no,486,yes,no,29,may,1109,3,-1,0,yes
55,technician,married,unknown,no,574,yes,no,29,jan,243,2,-1,0,no
44,selfEmployed,single,tertiary,no,2734,yes,no,12,may,897,4,-1,0,yes
56,management,single,tertiary,no,6507,yes,yes,29,jan,134,1,196,1,no
43,management,married,tertiary,no,1429,yes,no,19,nov,1015,1,198,2,yes
34,services,divorced,secondary,no,89,yes,no,15,may,1871,4,-1,0,yes
35,services,single,primary,no,167,no,yes,11,jul,614,2,-1,0,yes
35,blueCollar,married,secondary,no,503,yes,yes,9,may,57,2,-1,0,no
40,blueCollar,divorced,unknown,no,528,yes,no,13,may,340,2,357,5,no
33,admin,married,secondary,no,920,no,no,13,aug,111,1,105,1,no
26,student,single,secondary,no,502,yes,no,7,may,82,1,-1,0,no
42,housemaid,married,unknown,no,302,yes,no,11,jul,342,2,-1,0,no
31,admin,married,secondary,no,3,yes,no,28,jul,37,12,-1,0,no
31,unemployed,single,secondary,no,315,no,no,30,jan,130,1,2,1,no
33,technician,married,secondary,no,0,no,no,25,aug,296,8,-1,0,no
33,management,married,tertiary,no,584,yes,no,7,aug,269,3,-1,0,no
35,admin,single,tertiary,no,994,no,no,30,apr,400,1,87,2,yes
43,technician,married,tertiary,no,4333,yes,no,20,nov,1490,3,-1,0,yes
52,retired,married,tertiary,no,2269,no,no,20,jun,1210,1,-1,0,yes
30,management,single,tertiary,no,596,no,no,4,jun,125,2,-1,0,no
29,unknown,single,secondary,no,923,no,no,26,may,333,1,-1,0,no
43,services,divorced,unknown,no,2363,yes,no,17,nov,229,1,-1,0,no
58,retired,married,primary,no,5092,no,no,11,jun,199,6,-1,0,no
39,services,married,secondary,no,-971,yes,yes,28,may,104,2,-1,0,no
29,admin,single,secondary,no,-309,yes,yes,4,jun,215,1,-1,0,no
58,management,married,tertiary,no,3342,no,no,5,feb,344,5,-1,0,yes
31,student,single,secondary,no,1776,no,no,15,jun,220,1,207,1,yes
34,admin,married,secondary,no,2378,yes,yes,10,jul,92,1,-1,0,no
54,management,married,secondary,no,1134,yes,no,25,jul,1330,3,-1,0,yes
59,retired,married,secondary,no,1887,no,no,28,aug,88,8,-1,0,no
55,admin,married,secondary,no,865,yes,no,8,jul,105,1,82,2,no
46,technician,married,unknown,no,605,yes,no,20,apr,780,2,-1,0,no
55,management,divorced,primary,no,3629,yes,no,30,may,87,1,-1,0,no
28,blueCollar,single,primary,no,-30,yes,no,31,jul,108,5,-1,0,no
37,technician,single,secondary,no,2442,no,no,16,feb,91,3,-1,0,yes
78,retired,married,primary,no,240,no,no,20,apr,325,1,-1,0,yes
70,retired,divorced,primary,no,275,no,no,15,apr,82,1,-1,0,yes
40,services,married,secondary,no,3164,yes,no,3,apr,329,2,-1,0,no
33,management,single,tertiary,no,224,no,no,23,jun,342,2,107,2,yes
51,technician,divorced,secondary,no,2323,yes,yes,18,aug,151,10,-1,0,no
51,admin,divorced,secondary,no,520,no,yes,10,jul,157,1,-1,0,no
41,housemaid,married,primary,no,0,no,no,14,apr,168,1,-1,0,yes
45,admin,married,secondary,no,46,yes,no,5,may,234,1,-1,0,no
35,technician,married,secondary,no,1,yes,yes,21,may,85,1,-1,0,no
61,management,married,tertiary,no,997,no,no,22,jun,269,1,104,1,yes
19,student,single,secondary,no,372,no,no,8,jul,444,3,-1,0,yes
34,management,single,tertiary,no,5,no,no,18,aug,370,2,-1,0,yes
36,blueCollar,married,secondary,no,0,no,no,15,jul,794,1,-1,0,no
55,management,married,unknown,no,179,no,no,19,jun,97,1,-1,0,no
38,admin,divorced,secondary,no,19,yes,no,30,may,604,2,-1,0,yes
37,admin,divorced,secondary,no,1573,yes,no,12,may,639,3,326,10,no
58,unemployed,married,secondary,no,687,yes,no,7,aug,221,1,99,2,yes
45,admin,married,secondary,no,111,yes,no,11,aug,173,1,-1,0,no
31,technician,single,tertiary,yes,24,no,no,21,aug,246,2,-1,0,no
55,services,divorced,secondary,no,2166,yes,no,28,may,23,17,-1,0,no
54,management,divorced,tertiary,no,5475,no,no,22,jul,321,4,-1,0,yes
48,admin,married,secondary,no,292,yes,yes,29,jul,164,6,-1,0,no
59,retired,married,secondary,no,434,yes,no,12,may,63,3,-1,0,no
44,management,married,tertiary,no,3091,yes,no,17,jun,331,4,-1,0,no
47,technician,married,tertiary,no,1694,no,yes,20,jun,560,3,-1,0,yes
50,entrepreneur,married,secondary,no,2731,no,no,8,aug,111,2,-1,0,no
59,retired,married,primary,no,3648,no,no,23,oct,257,2,126,3,yes
40,management,married,tertiary,no,0,no,no,10,nov,147,1,96,8,yes
31,management,single,tertiary,no,4718,yes,no,21,nov,536,1,-1,0,yes
31,unemployed,single,tertiary,no,140,yes,no,7,may,11,2,-1,0,no
22,student,single,secondary,no,1522,no,no,30,oct,368,2,-1,0,yes
59,blueCollar,married,primary,no,320,yes,no,15,may,695,1,-1,0,yes
31,technician,married,tertiary,no,1570,yes,no,8,mar,277,4,286,1,yes
28,services,single,secondary,no,525,no,no,23,jul,81,1,-1,0,no
31,technician,married,tertiary,no,3382,no,no,30,apr,739,1,-1,0,yes
59,management,married,tertiary,no,7049,no,no,21,nov,530,1,163,2,yes
36,management,single,secondary,no,0,no,no,13,aug,333,5,-1,0,no
30,management,single,tertiary,no,697,no,no,10,aug,179,3,102,2,yes
42,services,married,secondary,no,508,yes,no,30,may,70,1,-1,0,no
42,services,married,primary,no,473,yes,no,30,jan,54,1,-1,0,no
43,admin,married,secondary,no,2682,no,no,30,jul,103,8,-1,0,no
33,selfEmployed,married,primary,no,1862,yes,no,12,may,65,1,-1,0,no
33,entrepreneur,married,secondary,no,5809,yes,no,22,aug,219,4,-1,0,no
29,selfEmployed,single,secondary,no,970,yes,no,13,may,240,1,-1,0,no
35,unemployed,single,secondary,no,295,no,no,17,mar,473,1,-1,0,yes
36,services,married,secondary,no,4721,no,no,9,mar,288,2,90,3,yes
41,technician,single,secondary,no,5329,no,no,14,jul,397,2,-1,0,yes
21,student,single,secondary,no,224,no,no,30,apr,871,1,-1,0,yes
27,management,single,tertiary,no,2489,no,no,15,jul,323,2,163,2,yes
40,admin,single,secondary,no,100,yes,no,11,aug,221,1,461,1,yes
47,housemaid,married,secondary,no,2524,no,no,12,oct,105,1,-1,0,yes
54,admin,married,secondary,no,0,no,no,27,jan,565,1,-1,0,yes
46,blueCollar,married,secondary,no,922,no,yes,14,jul,151,2,-1,0,no
25,student,single,secondary,no,703,no,no,5,may,1100,3,-1,0,no
53,technician,married,unknown,no,2242,no,no,10,jul,154,14,-1,0,no
35,admin,single,secondary,no,-32,no,yes,6,aug,366,2,178,9,yes
52,housemaid,married,primary,no,3798,yes,no,17,jul,1208,1,-1,0,yes
38,management,married,tertiary,no,0,yes,no,30,apr,571,1,-1,0,yes
46,technician,married,secondary,no,536,yes,no,16,jun,750,2,-1,0,yes
29,admin,single,secondary,no,464,no,no,9,nov,208,2,91,3,yes
41,blueCollar,divorced,primary,no,664,no,yes,15,jul,955,5,-1,0,yes
34,management,single,tertiary,no,2633,yes,no,21,nov,705,6,-1,0,yes
31,entrepreneur,single,secondary,no,0,no,no,13,nov,160,1,-1,0,yes
33,admin,single,tertiary,no,272,yes,no,1,jun,326,1,237,2,yes
59,retired,married,tertiary,no,422,yes,no,14,may,647,4,-1,0,yes
37,blueCollar,married,secondary,no,374,yes,no,7,may,944,3,-1,0,no
37,technician,married,secondary,no,5115,yes,no,17,nov,1210,2,171,4,yes
31,technician,single,tertiary,no,13711,yes,no,20,nov,1532,3,-1,0,yes
60,blueCollar,married,primary,no,5,no,no,29,jan,533,1,92,1,yes
36,technician,single,secondary,no,27,yes,no,9,feb,631,1,260,2,yes
19,student,single,unknown,no,108,no,no,9,mar,273,2,182,1,yes
33,technician,single,secondary,no,0,no,no,3,jul,1106,2,-1,0,no
40,management,married,tertiary,no,964,yes,no,13,may,95,3,-1,0,no
51,technician,married,tertiary,no,825,no,no,17,nov,977,3,-1,0,yes
33,admin,single,secondary,no,1437,yes,no,21,may,641,1,-1,0,no
47,admin,married,secondary,no,1358,yes,no,14,may,80,4,-1,0,no
38,technician,single,tertiary,no,25,yes,no,1,jun,232,2,-1,0,yes
46,blueCollar,married,secondary,no,1723,no,no,17,jun,176,2,52,7,yes
30,selfEmployed,married,secondary,no,131,yes,no,8,may,306,1,-1,0,no
31,blueCollar,single,secondary,no,-159,no,yes,21,nov,49,1,-1,0,no
31,management,married,tertiary,no,4148,yes,no,21,nov,316,3,99,9,yes
23,admin,single,secondary,no,1104,yes,no,12,may,120,2,-1,0,no
25,student,single,unknown,no,2503,no,no,26,feb,100,2,-1,0,no
40,blueCollar,married,secondary,no,299,yes,no,15,jul,180,4,-1,0,no
79,retired,married,secondary,no,668,no,no,2,jul,363,1,-1,0,yes
26,admin,single,tertiary,no,313,no,yes,2,jun,199,1,96,2,yes
25,admin,single,tertiary,no,1141,yes,no,5,may,718,1,347,1,no
25,student,single,tertiary,no,326,no,no,26,may,390,1,-1,0,yes
30,services,divorced,secondary,no,0,no,no,29,jan,89,1,-1,0,no
26,management,single,tertiary,no,170,no,no,15,jun,129,1,-1,0,yes
34,technician,single,secondary,no,664,yes,yes,11,may,88,2,343,2,no
35,blueCollar,married,secondary,no,1098,yes,no,26,may,19,17,-1,0,no
67,management,married,tertiary,no,405,no,no,10,nov,344,2,95,2,yes
52,entrepreneur,married,tertiary,yes,-468,no,no,8,jul,534,1,-1,0,yes
36,unemployed,married,secondary,no,439,yes,no,6,feb,18,6,-1,0,no
52,blueCollar,single,secondary,no,1541,yes,no,14,may,243,1,-1,0,no
35,blueCollar,married,tertiary,no,5271,yes,no,14,apr,119,2,-1,0,no
35,technician,single,primary,no,744,yes,no,7,apr,1096,1,-1,0,no
86,retired,divorced,primary,no,0,no,no,26,aug,189,1,-1,0,yes
32,technician,married,secondary,no,303,yes,no,8,apr,150,1,267,4,yes
27,technician,single,tertiary,no,11862,no,no,25,nov,285,2,97,7,yes
25,services,single,unknown,no,2022,no,no,29,jul,276,8,97,12,yes
37,management,married,tertiary,no,2951,no,no,21,nov,101,3,-1,0,no
34,housemaid,married,tertiary,no,677,no,no,9,feb,37,2,-1,0,no
29,admin,single,secondary,no,488,yes,no,4,jun,105,1,-1,0,no
30,unemployed,married,secondary,no,142,yes,no,20,may,350,4,-1,0,no
57,admin,married,secondary,no,169,no,no,3,feb,369,1,-1,0,yes
42,blueCollar,married,primary,no,170,yes,no,19,may,51,41,-1,0,no
31,blueCollar,married,secondary,no,2591,yes,no,20,nov,55,1,-1,0,no
31,blueCollar,married,primary,no,0,yes,yes,12,may,59,4,-1,0,no
38,blueCollar,married,secondary,no,1165,yes,no,13,aug,784,3,94,10,yes
32,selfEmployed,single,tertiary,no,658,yes,no,27,mar,283,1,-1,0,yes
61,retired,married,primary,no,296,yes,yes,3,jun,323,2,-1,0,no
75,retired,married,secondary,no,3771,no,no,16,oct,186,1,183,1,yes
47,blueCollar,married,secondary,no,1730,yes,no,30,apr,231,1,-1,0,yes
32,management,married,tertiary,no,26,no,no,22,aug,222,6,-1,0,no
39,management,married,tertiary,no,1836,no,no,6,aug,902,3,-1,0,yes
35,selfEmployed,divorced,secondary,no,3443,no,no,30,jul,409,4,-1,0,no
32,services,married,secondary,no,-344,no,yes,4,feb,44,1,-1,0,no
54,management,divorced,tertiary,no,-449,yes,no,14,may,691,1,-1,0,yes
45,admin,divorced,primary,no,429,yes,no,22,apr,147,1,181,1,yes
43,blueCollar,married,secondary,no,576,yes,yes,13,may,148,1,-1,0,no
32,blueCollar,single,secondary,no,15341,no,no,21,may,738,3,-1,0,no
59,retired,divorced,unknown,no,-49,yes,no,13,may,248,2,-1,0,no
35,blueCollar,married,secondary,no,120,yes,no,28,may,245,2,-1,0,no
45,blueCollar,married,primary,no,360,no,no,20,jun,98,2,-1,0,no
50,services,married,secondary,no,1134,no,no,18,jun,53,2,-1,0,no
30,management,single,tertiary,no,3773,yes,no,9,feb,75,4,258,1,no
51,admin,divorced,secondary,no,2195,yes,no,13,may,59,1,-1,0,no
60,technician,married,tertiary,no,91,no,no,27,aug,105,4,-1,0,no
54,selfEmployed,divorced,tertiary,no,0,yes,yes,29,jan,309,3,-1,0,no
60,technician,married,tertiary,no,-71,yes,yes,30,jan,1451,1,-1,0,yes
51,management,married,primary,yes,57,yes,yes,8,may,61,1,-1,0,no
59,admin,married,secondary,no,106,no,no,22,may,186,1,-1,0,yes
40,blueCollar,married,primary,no,1206,no,yes,16,jul,201,5,-1,0,no
26,unemployed,single,tertiary,no,814,no,no,28,jan,1387,1,-1,0,yes
21,student,single,primary,no,423,no,no,18,jan,287,5,285,5,yes
29,management,single,tertiary,no,265,no,no,22,may,491,1,-1,0,yes
34,unknown,single,secondary,no,859,no,no,28,jan,829,1,-1,0,yes
38,technician,married,secondary,no,1478,no,no,12,aug,926,4,-1,0,yes
38,services,married,primary,no,0,no,no,28,jul,33,3,-1,0,no
35,management,single,tertiary,no,538,no,no,22,dec,410,3,165,2,yes
47,admin,married,secondary,no,3676,no,no,15,jul,415,2,342,1,yes
47,admin,married,secondary,no,3480,no,no,16,apr,443,1,-1,0,yes
34,blueCollar,single,unknown,no,129,yes,yes,16,nov,295,1,200,2,yes
28,management,single,tertiary,no,3611,no,no,26,feb,141,2,-1,0,yes
44,services,divorced,secondary,no,-368,yes,no,5,may,895,1,-1,0,yes
35,blueCollar,divorced,primary,no,300,yes,no,13,may,945,2,-1,0,yes
35,technician,single,secondary,no,365,yes,no,8,may,256,2,-1,0,no
26,admin,single,tertiary,no,3672,yes,no,29,may,360,5,-1,0,no
49,blueCollar,divorced,primary,no,24,yes,no,11,may,701,1,362,1,yes
61,management,married,tertiary,no,3371,no,no,28,sep,299,2,-1,0,yes
58,services,married,primary,no,2946,yes,no,14,may,467,1,-1,0,yes
35,technician,single,secondary,no,300,yes,no,9,may,338,4,-1,0,no
38,management,married,tertiary,no,1875,no,no,17,nov,286,1,-1,0,no
48,admin,married,secondary,no,0,yes,no,17,jul,109,4,-1,0,no
52,blueCollar,divorced,primary,no,0,no,no,20,nov,19,1,-1,0,no
38,management,married,tertiary,no,179,no,no,8,aug,317,4,-1,0,yes
46,unemployed,married,secondary,no,16397,no,no,18,nov,641,1,-1,0,no
61,retired,divorced,primary,no,3624,no,no,25,nov,342,1,-1,0,yes
42,technician,married,tertiary,no,921,no,no,5,aug,531,3,-1,0,yes
32,services,married,secondary,no,1129,yes,no,15,apr,903,2,341,2,yes
48,management,married,primary,no,1513,no,no,29,jan,166,2,-1,0,no
49,unemployed,married,primary,yes,11,yes,no,31,jul,166,8,-1,0,no
27,student,single,secondary,no,279,no,no,12,oct,323,1,-1,0,yes
31,services,single,secondary,no,-45,no,no,7,may,246,2,-1,0,no
32,technician,single,tertiary,no,13711,yes,no,14,may,638,1,175,3,no
26,student,single,tertiary,no,294,no,no,5,mar,87,1,91,2,yes
48,blueCollar,married,secondary,no,1730,yes,no,4,feb,489,1,178,2,yes
28,student,single,secondary,no,196,no,no,2,jul,423,3,-1,0,yes
30,services,married,secondary,no,129,yes,no,26,may,1446,7,-1,0,yes
39,management,single,tertiary,no,1682,yes,no,19,nov,147,1,170,1,no
42,blueCollar,married,primary,no,2003,yes,no,17,apr,177,3,-1,0,no
34,blueCollar,single,secondary,no,186,no,no,2,feb,342,1,-1,0,no
36,management,married,tertiary,no,9,no,no,11,aug,386,4,-1,0,yes
30,management,single,tertiary,no,398,no,no,24,apr,235,2,-1,0,yes
38,services,married,secondary,no,2669,yes,no,20,apr,208,2,-1,0,no
34,blueCollar,married,primary,no,15841,yes,no,20,apr,423,5,-1,0,no
36,management,married,tertiary,no,-92,no,yes,18,nov,196,3,-1,0,no
31,technician,married,tertiary,no,95,no,no,21,nov,48,6,-1,0,no
30,admin,single,secondary,no,255,no,no,27,jan,143,1,-1,0,yes
48,blueCollar,single,primary,no,623,yes,no,2,feb,1425,2,-1,0,yes
59,selfEmployed,married,tertiary,no,2013,no,no,17,nov,409,2,-1,0,yes
29,student,single,secondary,no,67,no,no,23,feb,211,1,187,5,yes
30,management,single,tertiary,no,572,no,no,17,jun,339,3,183,2,yes
54,retired,single,primary,no,767,no,no,9,jun,42,2,-1,0,no
51,admin,divorced,secondary,no,-338,yes,no,29,jul,97,2,-1,0,no
37,technician,married,secondary,no,1580,no,no,22,aug,92,12,-1,0,no
56,blueCollar,married,secondary,no,448,yes,yes,17,may,556,1,181,2,yes
37,management,divorced,secondary,no,16,yes,no,30,may,638,1,-1,0,yes
38,management,married,secondary,no,93,no,no,3,jul,515,2,-1,0,no
42,blueCollar,married,secondary,no,1598,yes,yes,16,apr,1463,2,-1,0,yes
30,admin,single,secondary,no,523,no,yes,3,mar,83,1,-1,0,yes
55,management,divorced,tertiary,no,2037,no,no,4,feb,305,2,94,3,yes
54,technician,married,secondary,no,0,no,no,5,feb,744,3,-1,0,yes
37,entrepreneur,married,primary,no,8,yes,yes,16,jul,46,1,-1,0,no
28,management,married,tertiary,no,1240,no,no,4,aug,849,1,-1,0,yes
39,management,divorced,tertiary,no,2193,yes,yes,2,jun,550,3,-1,0,no
61,retired,married,secondary,no,86,no,no,23,oct,149,1,-1,0,yes
32,services,married,secondary,no,-34,yes,no,30,may,1236,2,-1,0,yes
46,housemaid,married,primary,no,3512,no,no,30,oct,175,1,197,1,yes
37,management,married,tertiary,no,7100,no,no,20,nov,757,2,-1,0,no
27,blueCollar,single,tertiary,no,567,no,no,26,may,523,3,182,3,yes
36,unemployed,single,tertiary,no,1291,no,no,30,apr,195,1,86,1,yes
40,services,married,primary,no,1082,yes,no,30,may,854,2,-1,0,yes
34,technician,married,secondary,no,652,yes,yes,18,jul,50,4,-1,0,no
31,admin,married,secondary,no,307,yes,no,9,may,538,1,-1,0,yes
55,retired,married,primary,no,2,no,no,27,jun,392,4,-1,0,no
37,admin,divorced,secondary,no,3975,yes,no,11,may,163,2,-1,0,no
33,blueCollar,married,primary,no,331,yes,no,30,may,139,3,-1,0,no
38,technician,married,tertiary,no,206,no,no,8,apr,350,2,-1,0,yes
48,entrepreneur,married,secondary,no,183,yes,no,3,jun,203,9,-1,0,no
42,management,married,tertiary,no,2665,yes,no,4,jun,280,2,126,11,yes
48,management,married,tertiary,no,263,yes,no,5,may,350,2,-1,0,no
45,admin,married,secondary,no,476,no,no,6,aug,356,1,364,1,yes
38,admin,married,secondary,no,0,yes,no,8,jun,187,1,181,2,yes
26,technician,single,tertiary,no,192,yes,no,15,may,477,1,-1,0,no
40,admin,married,secondary,no,1327,yes,yes,26,may,76,2,-1,0,no
46,admin,married,secondary,no,3098,yes,no,21,nov,192,9,-1,0,no
36,services,married,secondary,no,0,yes,yes,15,jul,201,4,-1,0,no
28,admin,divorced,secondary,no,785,yes,no,8,may,442,2,-1,0,yes
48,services,married,secondary,no,2850,yes,no,6,aug,107,3,-1,0,no
27,management,single,tertiary,yes,0,yes,no,19,may,352,1,-1,0,no
29,management,single,tertiary,no,841,no,no,5,feb,217,1,-1,0,no
51,management,married,tertiary,no,-321,no,no,6,feb,470,2,9,2,no
33,management,married,secondary,no,588,yes,no,18,may,11,5,-1,0,no
36,management,married,primary,no,1506,no,no,14,aug,326,3,-1,0,yes
25,management,single,tertiary,no,219,no,no,30,apr,458,1,-1,0,yes
36,management,married,tertiary,no,203,no,no,23,jul,608,3,179,2,yes
40,services,married,secondary,no,113,yes,no,4,jun,126,1,-1,0,no
32,technician,single,secondary,no,483,no,no,8,aug,580,3,-1,0,yes
55,blueCollar,married,secondary,no,467,no,no,25,aug,129,5,-1,0,no
35,management,married,secondary,no,839,yes,no,23,may,50,3,-1,0,no
58,management,married,tertiary,no,96,no,no,21,nov,850,1,-1,0,yes
44,management,married,secondary,no,0,no,no,21,aug,167,2,-1,0,no
42,technician,married,secondary,no,827,no,no,25,aug,153,3,-1,0,no
57,management,divorced,unknown,no,0,no,no,27,mar,102,1,-1,0,no
41,blueCollar,divorced,primary,no,138,yes,no,18,jul,640,3,-1,0,yes
47,admin,single,secondary,no,1693,yes,no,22,oct,608,2,92,4,yes
36,management,divorced,tertiary,no,59,no,no,13,aug,526,2,-1,0,yes
42,management,married,tertiary,no,187,no,no,11,aug,64,1,-1,0,no
49,blueCollar,married,primary,no,230,no,yes,30,jun,176,1,-1,0,no
29,technician,single,secondary,no,1856,yes,yes,18,may,134,1,-1,0,no
32,student,single,tertiary,no,1138,no,no,4,may,214,3,83,3,yes
48,entrepreneur,married,tertiary,yes,-392,no,no,31,jul,725,4,-1,0,yes
20,student,single,primary,no,6991,no,no,12,aug,178,2,-1,0,yes
55,management,married,primary,no,384,no,no,4,feb,75,1,-1,0,no
27,admin,married,secondary,no,-97,yes,no,18,jun,1528,2,-1,0,yes
33,services,divorced,secondary,no,327,yes,no,7,may,109,1,-1,0,no
28,blueCollar,single,secondary,no,38,yes,no,23,may,31,1,-1,0,no
36,management,married,tertiary,no,-115,yes,no,16,apr,297,4,182,2,yes
45,blueCollar,married,secondary,no,2071,no,yes,22,jul,1148,2,-1,0,no
46,blueCollar,divorced,secondary,no,138,no,no,19,nov,277,1,-1,0,no
36,blueCollar,married,primary,no,1177,no,no,15,apr,330,1,311,4,yes
43,management,single,tertiary,no,483,no,no,19,aug,950,6,-1,0,yes
57,management,married,tertiary,no,1172,yes,no,20,nov,72,1,-1,0,no
33,technician,married,secondary,no,-616,yes,yes,27,may,320,1,-1,0,no
29,management,married,secondary,no,0,yes,no,2,jun,85,4,-1,0,no
29,technician,single,tertiary,no,542,yes,no,9,may,338,3,-1,0,no
50,management,married,tertiary,no,1396,no,no,25,aug,731,6,-1,0,yes
75,retired,married,primary,no,1765,no,no,14,sep,808,1,187,4,yes
58,selfEmployed,married,secondary,no,9994,no,no,10,jul,400,1,-1,0,no
34,housemaid,divorced,primary,no,46,yes,no,11,jul,31,2,-1,0,no
32,admin,married,secondary,no,205,no,no,18,jul,197,3,-1,0,no
34,management,divorced,tertiary,no,70,yes,no,22,jul,5,1,701,6,no
49,blueCollar,divorced,primary,no,0,yes,no,29,jul,468,2,-1,0,no
24,blueCollar,single,secondary,no,476,yes,no,4,jun,161,1,-1,0,no
37,management,married,tertiary,no,789,yes,yes,11,aug,93,1,190,2,no
47,services,divorced,unknown,no,973,no,no,27,may,489,1,479,1,yes
31,technician,married,secondary,no,0,yes,yes,28,jan,71,1,223,9,no
66,housemaid,married,primary,no,1230,no,no,17,dec,726,3,-1,0,yes
59,retired,single,secondary,no,2,no,no,2,feb,935,1,-1,0,yes
76,retired,married,secondary,no,4112,no,no,23,oct,282,2,-1,0,yes
40,admin,married,secondary,no,67,no,yes,19,nov,359,2,152,5,no
52,technician,single,secondary,no,36,yes,no,16,may,335,1,-1,0,no
37,management,single,secondary,no,655,no,yes,4,feb,258,6,-1,0,no
50,blueCollar,married,primary,no,0,no,no,9,jun,199,4,-1,0,no
34,management,married,tertiary,no,1778,no,no,4,nov,358,1,162,2,yes
57,entrepreneur,married,primary,no,1153,yes,yes,9,jun,238,6,-1,0,no
56,management,married,primary,no,7747,no,no,5,jun,103,2,-1,0,no
25,blueCollar,single,secondary,no,1243,no,yes,10,jul,1341,7,-1,0,yes
35,management,single,tertiary,no,471,no,no,5,jun,276,2,-1,0,yes
40,management,married,secondary,no,106,no,no,17,jun,676,2,-1,0,yes
