age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous
62,retired,married,secondary,no,1495,no,no,13,oct,896,1,57,2
29,technician,single,secondary,no,1165,no,no,3,dec,244,2,184,1
62,management,married,tertiary,no,7458,no,no,30,oct,212,2,-1,0
40,technician,single,tertiary,no,431,no,no,7,jul,180,2,-1,0
34,management,single,tertiary,no,76,yes,no,13,may,747,2,371,3
34,admin,married,secondary,no,641,yes,yes,16,may,467,1,-1,0
28,management,single,tertiary,no,223,yes,no,1,jun,303,1,278,3
45,management,married,tertiary,no,3643,no,no,21,nov,162,1,-1,0
44,management,single,tertiary,no,1090,no,no,20,oct,178,4,93,6
37,admin,single,primary,no,912,yes,no,12,may,637,3,328,22
28,admin,married,secondary,no,0,yes,no,7,may,47,1,-1,0
28,services,single,secondary,no,3331,yes,no,28,may,229,2,-1,0
31,admin,single,tertiary,no,383,no,yes,6,feb,119,1,214,1
37,management,married,tertiary,no,-491,yes,no,5,feb,80,2,-1,0
54,management,married,tertiary,no,1114,yes,no,21,nov,1195,2,175,1
41,technician,married,tertiary,no,13,no,no,5,jun,189,2,-1,0
43,admin,married,secondary,no,817,yes,yes,21,nov,51,1,-1,0
60,admin,married,secondary,no,7336,no,no,31,mar,494,1,-1,0
34,technician,single,tertiary,no,2838,yes,no,13,may,620,3,-1,0
38,services,single,tertiary,no,1222,yes,no,5,jun,237,2,-1,0
40,management,married,primary,no,738,yes,yes,2,apr,399,2,258,3
77,retired,married,secondary,no,638,no,no,11,feb,288,1,188,1
49,technician,married,secondary,no,308,no,no,27,jul,266,5,-1,0
35,selfEmployed,single,tertiary,no,-30,no,no,4,feb,218,2,-1,0
38,blueCollar,divorced,secondary,no,0,yes,no,20,apr,162,1,181,5
33,technician,married,tertiary,no,6843,no,no,20,nov,755,1,100,10
26,technician,single,tertiary,no,515,no,no,31,may,775,1,-1,0
58,unemployed,married,secondary,no,610,yes,no,29,jul,246,2,-1,0
35,admin,single,secondary,no,303,no,no,24,sep,173,2,190,10
46,technician,single,secondary,no,874,no,no,19,nov,819,3,-1,0
67,housemaid,divorced,secondary,no,5275,no,no,13,aug,222,4,-1,0
39,technician,single,secondary,no,1104,no,no,7,aug,395,2,-1,0
45,blueCollar,married,primary,no,5461,yes,no,20,nov,841,2,-1,0
56,services,divorced,secondary,no,191,no,no,23,jul,335,3,-1,0
61,selfEmployed,married,tertiary,no,10861,no,no,26,jul,336,2,259,3
24,blueCollar,single,primary,no,1033,yes,no,24,nov,283,1,-1,0
89,retired,married,tertiary,no,553,no,no,19,aug,2027,5,-1,0
33,admin,single,tertiary,no,193,no,no,5,may,132,2,-1,0
41,technician,married,secondary,no,862,no,no,18,nov,474,2,-1,0
52,technician,married,secondary,no,1490,no,yes,17,jun,420,4,-1,0
67,admin,married,primary,no,1093,no,no,8,jul,64,3,-1,0
29,admin,married,secondary,no,-150,yes,no,6,may,328,1,-1,0
35,admin,divorced,secondary,no,1085,no,no,5,jun,199,1,86,7
54,admin,married,primary,no,976,yes,no,3,jun,137,3,-1,0
43,management,married,tertiary,no,-391,yes,no,28,jul,193,8,-1,0
28,technician,married,primary,no,-58,yes,no,8,may,74,1,-1,0
26,entrepreneur,single,secondary,no,101,yes,no,5,feb,810,1,268,1
40,management,married,tertiary,no,413,yes,no,14,may,150,1,-1,0
27,admin,single,secondary,no,292,yes,no,12,may,53,9,362,8
30,admin,single,tertiary,no,305,no,no,4,feb,227,2,-1,0
30,services,married,secondary,no,271,yes,no,15,may,365,1,-1,0
30,blueCollar,married,secondary,no,378,yes,no,14,may,566,2,-1,0
50,management,divorced,primary,no,-6,yes,no,19,may,92,2,-1,0
69,technician,married,secondary,no,9064,no,no,7,aug,714,1,-1,0
54,management,married,tertiary,no,8295,no,no,2,oct,849,2,119,1
31,services,married,secondary,no,1783,yes,yes,6,may,219,1,-1,0
32,blueCollar,single,secondary,no,70,yes,no,26,may,118,6,-1,0
44,housemaid,single,secondary,no,299,no,no,20,nov,186,1,-1,0
26,admin,single,secondary,no,712,yes,no,6,may,232,1,-1,0
50,management,married,tertiary,no,5969,no,no,25,jan,455,1,544,2
33,management,single,tertiary,no,4176,no,no,26,mar,288,3,-1,0
37,blueCollar,married,secondary,no,2924,no,no,31,jul,74,2,-1,0
32,management,single,tertiary,no,9317,no,no,2,nov,92,3,-1,0
40,technician,divorced,secondary,no,311,no,no,6,aug,738,2,-1,0
31,services,single,secondary,no,2038,yes,no,20,may,148,1,-1,0
24,services,single,secondary,no,638,yes,yes,7,may,792,3,-1,0
42,management,divorced,tertiary,no,238,no,no,25,sep,692,1,-1,0
49,entrepreneur,married,primary,no,6188,no,no,18,nov,453,1,-1,0
54,retired,married,secondary,no,1851,no,no,11,jun,296,3,-1,0
51,technician,married,tertiary,no,0,no,no,17,nov,81,1,-1,0
25,admin,single,secondary,no,96,yes,no,9,may,176,2,-1,0
34,blueCollar,married,secondary,no,405,yes,no,21,may,103,1,-1,0
33,blueCollar,married,secondary,no,19,yes,no,4,feb,56,1,271,1
39,management,single,tertiary,no,2454,yes,no,4,may,716,3,263,2
60,technician,divorced,tertiary,no,1900,yes,no,29,may,77,3,-1,0
26,admin,single,secondary,no,255,no,no,9,feb,190,1,-1,0
32,technician,divorced,secondary,no,-262,yes,no,28,aug,85,24,-1,0
44,services,divorced,secondary,no,-389,yes,yes,5,jun,52,1,-1,0
49,services,single,secondary,no,1884,yes,no,8,may,43,1,-1,0
24,management,single,secondary,no,86,no,no,2,jun,1075,2,-1,0
60,retired,married,secondary,no,8332,no,no,16,mar,279,1,194,7
53,technician,divorced,tertiary,no,2228,no,no,17,nov,890,1,-1,0
40,admin,married,tertiary,no,764,yes,no,17,nov,85,1,-1,0
25,technician,single,tertiary,no,3411,no,no,19,aug,225,2,-1,0
30,services,married,secondary,no,3929,yes,no,20,nov,593,1,-1,0
40,technician,married,secondary,no,503,yes,no,14,may,127,3,-1,0
28,technician,single,tertiary,no,676,no,no,5,feb,1138,2,-1,0
32,technician,single,tertiary,no,392,yes,no,21,nov,148,2,-1,0
73,retired,single,secondary,no,1050,no,no,4,mar,562,3,181,2
50,admin,married,secondary,no,1138,yes,yes,31,jul,73,8,-1,0
34,blueCollar,married,secondary,no,157,yes,no,11,jul,254,2,-1,0
42,entrepreneur,married,secondary,no,324,yes,no,15,jul,528,3,-1,0
33,blueCollar,single,primary,no,447,yes,no,9,may,180,2,-1,0
55,retired,married,primary,no,3334,no,no,14,aug,632,4,-1,0
48,admin,single,secondary,no,479,yes,yes,18,jun,533,3,-1,0
41,services,married,secondary,no,2399,yes,no,15,may,303,2,351,2
55,management,single,secondary,no,220,yes,no,6,may,328,2,-1,0
60,retired,divorced,primary,no,-79,yes,yes,29,jan,192,1,-1,0
48,blueCollar,married,primary,no,719,no,yes,11,aug,418,5,-1,0
38,blueCollar,married,secondary,no,-210,yes,no,8,may,21,1,-1,0
36,blueCollar,married,primary,no,319,yes,no,13,may,774,2,301,1
34,entrepreneur,married,tertiary,no,842,yes,no,6,may,141,2,-1,0
37,technician,married,secondary,no,177,yes,no,16,jul,464,3,-1,0
58,retired,married,secondary,no,2714,no,no,26,may,165,1,287,2
40,management,married,tertiary,no,10786,no,no,20,jun,111,3,-1,0
58,management,married,tertiary,no,3768,yes,no,18,jun,316,1,-1,0
40,selfEmployed,married,secondary,no,311,yes,no,20,may,723,2,-1,0
66,admin,divorced,secondary,no,220,no,no,28,aug,283,1,-1,0
32,management,single,tertiary,no,4291,no,no,7,aug,1321,9,-1,0
41,technician,single,secondary,no,32,yes,no,7,may,162,1,-1,0
31,management,married,tertiary,no,22867,yes,no,27,may,241,2,-1,0
41,technician,single,tertiary,no,431,no,no,23,jul,196,1,88,5
50,blueCollar,married,primary,no,888,no,yes,10,jul,160,3,-1,0
64,retired,married,secondary,no,1612,no,no,18,may,336,1,89,5
24,student,single,secondary,no,382,no,no,30,apr,567,2,-1,0
36,blueCollar,single,secondary,no,3623,no,no,12,nov,71,1,378,1
34,management,single,tertiary,no,13014,no,no,12,feb,637,1,183,1
58,retired,married,tertiary,no,1425,no,no,30,apr,224,1,-1,0
29,blueCollar,single,primary,no,213,yes,no,6,jun,2653,3,-1,0
43,technician,married,secondary,no,0,no,yes,8,may,9,2,172,5
30,management,single,tertiary,no,424,no,no,16,apr,298,4,-1,0
59,management,married,tertiary,no,2239,no,no,20,aug,377,6,90,1
45,technician,married,secondary,no,1831,no,no,27,may,275,2,-1,0
28,management,single,tertiary,no,223,yes,no,27,aug,157,2,119,1
57,entrepreneur,married,secondary,no,1179,no,no,19,aug,189,2,-1,0
37,unemployed,married,secondary,no,4969,yes,no,6,may,169,1,-1,0
57,retired,married,secondary,no,91,no,yes,3,jul,256,3,-1,0
46,blueCollar,married,tertiary,no,993,yes,no,16,jun,78,1,-1,0
33,technician,married,tertiary,no,4401,no,no,30,apr,439,1,-1,0
34,admin,married,secondary,no,1467,yes,no,17,apr,113,1,332,2
33,management,single,tertiary,no,62,yes,no,18,may,473,3,-1,0
28,student,single,tertiary,no,2306,no,no,29,oct,140,2,-1,0
25,admin,single,secondary,no,285,no,no,3,jul,658,3,-1,0
25,student,single,secondary,no,1919,yes,no,15,may,264,1,351,4
52,management,divorced,tertiary,no,-803,yes,no,7,aug,131,3,-1,0
44,management,married,tertiary,no,4119,yes,yes,21,nov,1074,1,-1,0
33,entrepreneur,married,secondary,no,-627,yes,yes,8,jul,740,1,-1,0
22,student,single,tertiary,no,691,no,no,30,nov,260,5,103,1
30,admin,married,secondary,no,39,yes,no,28,jul,101,3,-1,0
69,retired,married,secondary,no,0,no,no,25,aug,412,2,-1,0
52,services,married,secondary,no,659,no,no,27,oct,113,1,-1,0
41,blueCollar,married,primary,no,512,yes,no,6,may,233,2,-1,0
55,technician,married,tertiary,no,-466,yes,no,15,may,901,1,-1,0
45,admin,married,secondary,no,25,yes,no,28,may,82,4,-1,0
33,management,married,tertiary,no,32,no,no,29,aug,27,7,-1,0
57,technician,married,tertiary,no,6822,no,no,7,aug,797,2,-1,0
28,admin,married,secondary,no,157,yes,yes,28,jul,164,2,-1,0
43,admin,married,secondary,yes,-204,yes,no,26,may,163,2,-1,0
36,management,single,tertiary,no,243,yes,no,7,may,160,2,360,3
57,retired,married,primary,no,-12,no,yes,12,aug,80,8,-1,0
48,technician,divorced,secondary,no,-154,no,no,3,jun,342,3,-1,0
35,blueCollar,divorced,secondary,no,0,yes,no,20,may,1205,1,-1,0
39,technician,married,secondary,no,8,no,yes,17,nov,333,2,96,2
40,blueCollar,married,secondary,no,-438,no,no,11,may,1017,1,-1,0
57,management,married,tertiary,no,372,no,no,21,nov,553,3,-1,0
59,technician,married,secondary,no,2308,no,no,30,apr,815,1,87,1
45,admin,married,secondary,no,1206,no,no,8,feb,309,1,446,3
41,technician,married,secondary,no,-378,yes,no,5,feb,361,1,253,2
36,technician,married,tertiary,no,1109,no,no,13,aug,328,2,-1,0
60,unemployed,married,primary,no,0,no,no,22,jul,1193,1,412,1
56,management,married,tertiary,no,94,no,no,23,jul,530,3,-1,0
30,technician,single,tertiary,no,3,yes,no,7,may,174,1,-1,0
48,technician,married,secondary,no,862,no,no,30,jul,160,2,-1,0
44,services,married,secondary,no,-395,yes,no,5,may,894,1,-1,0
46,entrepreneur,married,tertiary,no,1920,no,no,22,aug,604,6,-1,0
45,technician,married,secondary,no,2571,no,no,18,jun,146,2,-1,0
55,technician,married,secondary,no,1938,no,yes,18,aug,193,1,386,3
25,admin,single,tertiary,no,760,yes,no,27,may,223,3,89,2
39,management,married,tertiary,no,-974,no,yes,13,aug,130,4,-1,0
30,management,married,tertiary,no,10884,no,no,4,may,333,2,-1,0
32,technician,single,secondary,no,230,yes,no,18,may,442,1,266,8
31,blueCollar,married,secondary,no,0,yes,no,10,aug,97,1,782,1
72,retired,married,secondary,no,951,no,yes,12,mar,229,3,339,1
49,management,divorced,secondary,no,-46,yes,no,9,jun,1055,10,-1,0
27,blueCollar,single,tertiary,no,644,no,no,2,jun,657,1,182,1
60,services,single,primary,no,313,yes,no,15,may,920,2,-1,0
40,technician,married,secondary,no,1716,yes,no,12,aug,226,8,-1,0
40,technician,divorced,secondary,no,275,no,no,13,aug,409,4,-1,0
32,management,single,tertiary,no,2069,no,no,22,apr,545,1,-1,0
39,housemaid,married,secondary,no,1444,no,no,19,nov,100,1,117,8
32,services,single,tertiary,no,945,no,no,20,nov,531,1,-1,0
47,technician,married,secondary,no,335,no,no,17,feb,226,1,-1,0
34,blueCollar,married,primary,no,425,yes,no,16,jul,1389,7,-1,0
38,blueCollar,married,primary,no,362,yes,no,8,may,100,5,-1,0
39,management,married,tertiary,no,0,yes,yes,17,jul,301,1,-1,0
49,admin,married,secondary,no,0,no,no,1,jun,1460,1,-1,0
43,entrepreneur,single,tertiary,no,42,no,no,7,jul,285,1,-1,0
42,entrepreneur,divorced,secondary,no,335,yes,no,12,may,580,1,-1,0
26,admin,single,secondary,yes,-930,yes,no,14,may,786,1,-1,0
55,selfEmployed,married,secondary,no,12159,yes,no,20,nov,142,2,174,2
33,management,married,tertiary,no,6513,yes,no,11,jan,170,1,343,1
33,blueCollar,married,secondary,no,370,yes,no,8,apr,249,1,-1,0
34,management,single,tertiary,no,549,no,no,6,oct,1246,2,-1,0
53,management,married,tertiary,no,7067,no,no,6,jun,82,3,-1,0
46,management,single,tertiary,no,2223,no,no,12,jun,67,3,-1,0
47,blueCollar,married,secondary,no,4840,no,no,16,jun,53,1,-1,0
58,housemaid,married,primary,no,435,yes,no,28,jul,122,6,-1,0
30,services,married,tertiary,no,81,no,no,22,apr,145,1,-1,0
24,student,single,secondary,no,387,no,no,4,may,340,8,-1,0
25,technician,married,tertiary,no,2551,no,no,28,dec,400,3,-1,0
31,student,single,secondary,no,216,no,no,3,jun,138,1,-1,0
32,management,single,tertiary,no,1882,no,no,25,aug,497,5,-1,0
36,services,married,primary,no,92,yes,no,5,jun,244,7,-1,0
38,blueCollar,married,secondary,no,961,yes,no,16,may,346,1,-1,0
30,services,married,secondary,no,80,yes,no,8,may,185,2,-1,0
44,services,divorced,secondary,no,240,yes,no,8,may,155,2,-1,0
34,technician,single,tertiary,no,2671,no,no,19,aug,119,9,-1,0
46,management,married,tertiary,no,0,yes,no,14,jul,247,2,-1,0
34,management,single,tertiary,no,1494,yes,no,18,nov,596,1,182,1
25,student,single,secondary,no,469,no,no,21,aug,273,1,86,1
32,technician,single,secondary,no,945,no,no,4,may,312,3,-1,0
36,admin,single,secondary,no,728,no,no,30,apr,230,1,-1,0
60,retired,married,secondary,no,2060,no,no,26,mar,454,1,88,3
42,blueCollar,married,primary,no,807,yes,no,19,nov,1057,1,-1,0
45,admin,married,secondary,no,256,no,no,21,nov,135,2,-1,0
33,technician,married,tertiary,no,16992,yes,no,29,may,58,1,-1,0
32,admin,married,secondary,no,1661,yes,no,5,feb,76,1,209,2
54,technician,single,secondary,no,198,yes,yes,17,nov,120,1,171,2
40,unemployed,married,secondary,no,1960,yes,no,2,jun,605,6,-1,0
26,technician,married,secondary,no,267,yes,no,28,jul,817,2,-1,0
21,student,single,secondary,no,123,no,no,12,feb,379,5,93,2
34,blueCollar,married,secondary,no,262,no,no,1,jun,339,1,-1,0
30,services,single,secondary,no,-158,yes,no,12,may,426,1,370,2
30,technician,single,secondary,no,863,yes,no,16,may,1193,5,-1,0
46,selfEmployed,married,tertiary,no,-80,yes,no,12,may,112,2,-1,0
40,admin,married,secondary,no,732,no,no,9,sep,71,1,139,4
46,management,divorced,tertiary,no,507,yes,no,1,apr,1196,1,-1,0
58,retired,married,primary,no,2074,no,no,18,jun,259,2,-1,0
49,management,married,tertiary,no,7007,no,no,17,nov,325,2,-1,0
29,blueCollar,married,secondary,no,296,yes,no,4,jun,153,1,-1,0
28,technician,single,secondary,no,1363,no,no,27,feb,79,1,-1,0
36,selfEmployed,single,tertiary,no,583,no,no,30,jan,859,1,235,1
29,technician,married,secondary,no,428,no,no,14,jul,131,4,-1,0
55,blueCollar,single,primary,no,1187,yes,no,2,jun,193,2,-1,0
50,technician,married,secondary,no,1717,no,no,7,jul,416,8,-1,0
54,retired,divorced,secondary,no,2761,no,no,16,jul,771,1,-1,0
31,blueCollar,single,secondary,no,1979,yes,yes,6,may,1205,1,-1,0
36,admin,single,secondary,no,1281,no,no,24,jul,119,2,-1,0
47,unemployed,single,secondary,no,4819,no,no,18,nov,144,1,-1,0
36,technician,married,tertiary,no,4596,yes,no,16,apr,901,2,-1,0
48,management,married,tertiary,no,3842,no,no,1,jun,215,2,-1,0
42,blueCollar,married,secondary,no,165,yes,no,23,may,333,2,-1,0
52,admin,married,secondary,no,484,yes,no,6,may,128,1,-1,0
30,blueCollar,married,secondary,no,2850,no,no,8,may,181,2,-1,0
34,technician,single,tertiary,no,2733,no,no,14,jul,604,1,-1,0
40,management,married,tertiary,no,2763,yes,no,2,jul,566,1,395,2
51,blueCollar,married,tertiary,no,7816,yes,no,12,may,76,2,-1,0
29,technician,married,tertiary,no,-722,no,yes,27,jun,121,4,-1,0
46,management,married,tertiary,no,1217,yes,no,15,may,236,1,-1,0
47,admin,married,secondary,no,70,yes,no,5,apr,144,4,374,2
40,unemployed,single,tertiary,no,7968,no,no,2,mar,263,2,180,2
47,blueCollar,married,secondary,no,125,no,no,8,jul,210,2,-1,0
35,blueCollar,married,secondary,no,2054,yes,no,20,may,447,1,-1,0
40,management,married,secondary,no,8486,no,no,6,may,260,3,-1,0
26,services,single,secondary,no,-72,yes,no,30,jun,82,9,-1,0
30,blueCollar,married,secondary,no,2493,no,no,28,jan,293,2,-1,0
39,entrepreneur,married,tertiary,yes,1,yes,yes,29,may,102,1,-1,0
49,blueCollar,married,secondary,no,3728,yes,no,11,jul,1060,2,-1,0
41,management,married,tertiary,no,0,yes,no,18,nov,897,3,-1,0
34,blueCollar,married,secondary,no,640,yes,no,29,apr,636,2,-1,0
30,selfEmployed,married,tertiary,no,543,yes,yes,4,jun,1449,6,-1,0
39,technician,married,secondary,no,10685,yes,no,25,jul,1369,9,-1,0
49,technician,married,secondary,no,1091,no,no,30,jul,47,2,-1,0
32,management,married,tertiary,no,3696,no,no,21,may,315,3,-1,0
36,management,married,tertiary,no,495,no,no,5,aug,157,3,97,2
44,entrepreneur,married,tertiary,no,121,no,no,10,aug,412,1,-1,0
32,technician,married,secondary,no,599,no,no,19,nov,79,1,-1,0
35,blueCollar,married,secondary,no,270,yes,yes,6,apr,332,2,335,1
47,blueCollar,divorced,primary,no,126,yes,no,3,jun,2456,2,-1,0
59,management,divorced,tertiary,no,81,no,no,26,may,140,1,-1,0
33,admin,divorced,tertiary,no,891,no,no,8,may,398,2,-1,0
52,technician,divorced,secondary,no,152,no,no,13,aug,404,6,-1,0
34,technician,single,secondary,no,559,no,no,22,aug,259,2,-1,0
46,blueCollar,married,primary,no,7934,yes,no,19,may,123,1,-1,0
29,management,married,tertiary,no,314,no,no,28,may,938,2,-1,0
51,management,married,tertiary,no,0,yes,yes,19,aug,263,1,84,1
32,blueCollar,single,secondary,no,760,yes,no,16,apr,445,1,148,2
38,admin,single,secondary,no,262,no,no,3,feb,315,2,180,6
37,management,divorced,tertiary,no,1775,no,no,15,jul,514,5,-1,0
40,entrepreneur,married,tertiary,no,3585,no,no,15,sep,506,3,-1,0
27,services,single,secondary,no,339,no,no,4,jun,182,1,-1,0
31,technician,married,secondary,no,-160,yes,no,14,jul,126,6,-1,0
30,technician,single,secondary,no,2567,no,no,18,jun,813,4,-1,0
55,retired,married,secondary,no,241,yes,no,20,jun,14,6,-1,0
29,admin,married,secondary,no,6429,yes,yes,14,may,535,1,352,2
51,technician,married,secondary,no,130,no,no,22,aug,547,3,-1,0
30,blueCollar,single,secondary,no,49,no,no,30,jan,808,2,-1,0
37,management,married,tertiary,no,332,yes,no,14,aug,190,2,84,7
30,technician,single,tertiary,no,655,no,no,6,oct,384,2,-1,0
36,technician,single,secondary,yes,-487,yes,no,17,apr,1080,1,-1,0
54,management,divorced,tertiary,no,5475,no,no,21,oct,1032,1,91,4
44,admin,married,secondary,no,1696,no,no,16,jun,139,3,-1,0
40,blueCollar,divorced,secondary,no,-90,yes,no,28,may,130,1,-1,0
49,services,married,primary,no,0,yes,no,6,may,445,2,166,3
69,management,married,tertiary,no,840,no,no,5,feb,128,3,-1,0
37,management,married,tertiary,no,578,yes,no,8,aug,401,4,-1,0
31,technician,single,secondary,no,816,no,no,9,jun,100,2,-1,0
38,management,divorced,tertiary,no,441,yes,no,30,jan,67,1,-1,0
52,services,married,secondary,no,657,no,no,7,jul,398,2,460,2
33,technician,married,secondary,no,218,yes,yes,2,mar,169,4,-1,0
39,admin,married,tertiary,no,259,yes,no,19,may,27,1,-1,0
36,technician,married,tertiary,no,571,yes,yes,31,jul,46,3,-1,0
55,management,married,tertiary,no,42,yes,no,11,may,386,2,-1,0
43,management,married,secondary,no,373,yes,no,28,may,54,1,-1,0
32,admin,married,tertiary,no,653,no,no,2,jun,84,1,-1,0
29,student,single,tertiary,no,5,no,no,15,jul,889,5,-1,0
33,services,divorced,secondary,yes,339,yes,no,23,may,496,4,-1,0
60,housemaid,married,primary,no,517,no,no,12,jun,1178,3,-1,0
23,services,single,secondary,no,488,no,no,30,mar,236,1,92,2
36,services,married,secondary,no,472,yes,no,19,jun,1017,1,-1,0
26,management,divorced,tertiary,no,667,no,no,19,jun,177,2,-1,0
29,blueCollar,married,primary,no,5,no,no,3,jun,321,1,-1,0
52,admin,married,secondary,no,299,no,no,19,nov,310,4,-1,0
59,retired,divorced,secondary,no,21,yes,no,19,nov,121,2,-1,0
45,admin,married,secondary,no,205,no,no,3,feb,373,1,92,1
35,services,single,secondary,no,719,yes,no,18,may,1359,3,368,3
37,technician,single,secondary,no,980,no,no,8,aug,1306,5,-1,0
37,blueCollar,married,primary,no,2120,yes,no,15,may,655,3,175,4
50,management,divorced,tertiary,no,810,no,no,4,jun,510,3,-1,0
34,selfEmployed,single,secondary,no,3,yes,no,5,may,301,1,-1,0
30,services,single,secondary,no,1268,yes,no,8,apr,105,4,320,8
51,management,married,primary,no,6298,yes,no,20,jun,14,3,-1,0
38,technician,married,secondary,no,581,yes,no,6,may,79,1,-1,0
28,blueCollar,married,primary,no,674,yes,no,14,may,921,4,-1,0
34,technician,single,tertiary,no,925,yes,no,13,apr,709,1,-1,0
56,management,married,primary,no,-155,yes,no,17,nov,282,1,-1,0
42,blueCollar,married,secondary,no,443,yes,no,2,jun,671,5,-1,0
59,admin,married,secondary,no,145,yes,no,12,may,556,2,287,13
37,admin,single,secondary,no,309,yes,no,15,may,58,3,-1,0
39,management,single,tertiary,no,5073,yes,no,12,may,1182,1,286,4
32,blueCollar,married,secondary,yes,-53,yes,no,16,apr,648,1,272,1
34,admin,divorced,secondary,no,-251,no,no,18,jul,641,1,-1,0
31,admin,single,secondary,no,690,no,no,4,may,10,4,87,12
36,management,married,tertiary,no,3949,no,no,28,jan,130,2,-1,0
29,admin,single,secondary,no,209,no,no,5,feb,605,2,-1,0
55,technician,married,secondary,no,312,no,no,6,feb,13,8,9,3
